Date,Open,Close,High,Low,Volume,Change
2016-10-26,39.07,12.417,39.3,38.75,1.44K,0.05%
2016-10-27,39.78,12.331,39.79,39.09,1.96K,1.82%
2016-10-28,41.14,12.406,41.21,39.6,2.26K,3.42%
2016-10-31,41.33,12.843,41.57,40.93,1.10K,0.46%
2016-11-1,40.97,12.805,41.78,40.8,1.83K,-0.87%
2016-11-3,40.59,12.629,41.06,39.98,1.01K,-0.93%
2016-11-4,40.15,12.555,40.75,40.11,1.09K,-1.08%
2016-11-7,39.4,12.539,40.28,39.2,1.51K,-1.87%
2016-11-8,39.4,12.442,39.8,39.35,0.59K,0.00%
2016-11-9,39.21,12.272,39.5,39.19,0.40K,-0.48%
2016-11-10,39.23,11.579,39.68,38.93,0.63K,0.05%
2016-11-11,39.2,11.457,39.4,38.85,1.04K,-0.08%
2016-11-14,39.52,11.433,39.8,39.2,0.14K,0.82%
2016-11-16,39.67,11.576,39.6,39.45,0.47K,0.38%
2016-11-17,38.03,11.552,39.79,38,2.15K,-4.13%
2016-11-18,37.79,11.202,38.2,37.55,1.48K,-0.63%
2016-11-21,37.46,11.26,37.85,37.32,1.58K,-0.87%
2016-11-22,37.83,11.156,37.99,37.2,1.87K,0.99%
2016-11-23,37.65,11.162,37.89,37.35,0.79K,-0.48%
2016-11-24,37.88,11.062,38.15,37.41,0.56K,0.61%
2016-11-25,37.59,11.07,37.88,37.3,0.87K,-0.77%
2016-11-28,37.44,11.075,37.7,37.01,1.28K,-0.40%
2016-11-29,37.41,10.98,37.86,37.23,1.44K,-0.08%
2016-11-30,37.48,11.048,37.58,36.91,1.02K,0.19%
2016-12-1,38.4,10.827,38.45,37.59,2.52K,2.45%
2016-12-2,38.38,11.047,38.95,38,1.31K,-0.05%
2016-12-5,38.26,11.263,38.65,37.79,1.18K,-0.31%
2016-12-6,38.74,11.279,38.85,38.27,2.14K,1.25%
2016-12-7,38.66,11.441,39.2,38.64,1.56K,-0.21%
2016-12-8,38.25,11.454,38.74,37.75,1.52K,-1.06%
2016-12-9,38.5,11.331,38.94,38.3,1.26K,0.65%
2016-12-12,38.47,11.513,38.57,38.02,1.43K,-0.08%
2016-12-13,38.85,11.557,39.09,38.51,1.53K,0.99%
2016-12-14,39.25,11.525,39.41,38.75,1.82K,1.03%
2016-12-15,39.26,11.692,39.48,39.2,0.66K,0.03%
