date,ke_Close,ke_Volume,ke_Open,ke_High,ke_Low,zo_Close,zo_Volume,zo_Open,zo_High,zo_Low,zr_Close,zr_Volume,zr_Open,zr_High,zr_Low,zw_Close,zw_Volume,zw_Open,zw_High,zw_Low
2023-09-20,729.0,17057.0,730.5,741.0,722.0,436.0,573.0,437.0,443.0,425.25,15.96,161.0,15.96,16.15,15.905,588.75,61178.0,585.25,596.25,581.5
2023-09-19,731.0,15490.0,733.0,737.75,722.75,434.75,1070.0,449.0,458.75,431.0,16.03,441.0,15.98,16.05,15.83,584.0,56158.0,588.0,592.75,581.0
2023-09-18,735.0,16771.0,744.5,744.5,725.0,454.0,688.0,484.75,485.0,454.0,16.015,378.0,16.26,16.295,15.97,591.25,62302.0,604.0,604.25,587.0
2023-09-15,746.5,18554.0,735.5,748.5,733.0,479.0,224.0,482.5,484.0,475.0,16.215,304.0,16.225,16.29,16.14,604.25,64228.0,594.25,607.5,591.75
2023-09-14,736.5,18690.0,744.0,745.0,726.25,479.75,467.0,492.0,495.5,472.75,16.205,680.0,15.955,16.37,15.885,593.75,52609.0,595.5,597.75,583.5
2023-09-13,744.75,17784.0,729.5,746.25,726.0,492.75,245.0,495.75,502.25,490.75,15.935,658.0,15.685,15.975,15.605,597.25,60417.0,587.5,601.5,584.75
2023-09-12,730.75,26206.0,723.0,735.5,709.0,495.5,583.0,494.5,502.75,492.75,15.625,1116.0,15.835,15.84,15.6,587.5,62028.0,584.25,591.0,570.0
2023-09-11,723.75,17833.0,718.5,726.5,717.5,493.25,409.0,500.75,500.75,490.5,15.795,1307.0,16.055,15.87,15.71,584.5,49137.0,585.25,587.75,583.5
2023-09-08,732.0,13327.0,737.0,740.25,728.75,500.0,471.0,495.0,509.75,494.5,16.065,582.0,16.18,16.29,16.01,595.75,43704.0,600.0,602.75,590.5
2023-09-07,737.0,17088.0,748.0,754.25,735.5,496.5,285.0,498.0,499.25,491.75,16.195,912.0,16.6,16.735,16.145,599.75,41082.0,609.0,613.75,598.0
2023-09-06,749.5,24553.0,724.5,750.75,722.75,498.75,280.0,493.25,500.5,488.0,16.695,462.0,16.7,16.86,16.58,609.0,43718.0,601.25,615.5,599.0
2023-09-05,724.5,17039.0,724.5,731.5,713.75,487.5,264.0,486.0,492.25,481.0,16.79,430.0,16.5,16.8,16.495,599.25,45608.0,598.75,605.75,592.25
2023-09-01,722.75,26384.0,729.0,746.75,722.0,486.5,424.0,493.5,501.75,482.5,16.565,619.0,16.65,16.795,16.525,595.5,48960.0,602.0,612.75,595.25
2023-08-31,727.25,20293.0,730.75,737.75,715.25,493.25,658.0,502.0,511.0,490.25,16.69,468.0,16.68,16.785,16.53,602.0,61381.0,605.0,615.75,593.5
2023-08-30,731.75,20200.0,729.5,733.5,721.25,500.25,649.0,517.5,522.5,500.0,16.69,1591.0,16.51,16.875,16.48,607.0,61501.0,602.75,610.75,599.5
2023-08-29,729.25,24482.0,749.25,749.75,728.0,516.75,673.0,505.25,519.0,501.25,16.68,1244.0,16.3,16.695,16.19,600.5,66274.0,616.5,618.25,599.5
2023-08-28,749.75,20524.0,765.0,769.5,747.75,506.0,669.0,501.5,510.0,501.5,16.3,1240.0,16.05,16.35,16.05,617.0,44296.0,622.0,628.5,612.5
2023-08-25,764.5,20442.0,762.5,771.75,755.0,501.25,597.0,494.0,504.25,485.25,16.03,1189.0,16.135,16.275,16.01,621.75,54084.0,632.25,637.75,615.5
2023-08-24,762.5,17082.0,763.25,765.75,755.0,489.5,948.0,470.5,495.5,465.75,16.1,1142.0,15.8,16.155,15.78,631.75,38092.0,642.25,642.5,626.5
2023-08-23,763.75,16092.0,748.75,766.75,743.75,470.5,754.0,464.5,472.0,456.0,15.815,1145.0,15.8,15.865,15.77,639.75,40423.0,629.0,643.5,624.25
2023-08-22,747.75,15061.0,748.0,756.5,742.5,465.25,371.0,466.0,470.0,462.25,15.49,541.0,15.515,15.605,15.47,627.5,41671.0,625.0,637.0,621.25
2023-08-21,748.25,18702.0,765.0,770.0,741.75,465.0,342.0,458.25,468.75,458.25,15.515,776.0,15.56,15.65,15.495,625.5,40238.0,644.0,646.25,622.75
2023-08-18,760.75,16737.0,743.0,762.5,742.0,461.25,439.0,461.25,465.0,455.5,15.545,854.0,15.54,15.605,15.52,639.0,45714.0,615.25,641.25,615.0
2023-08-17,741.5,16614.0,751.75,754.0,739.5,459.75,487.0,457.0,462.0,445.0,15.535,776.0,15.62,15.685,15.52,615.25,41962.0,625.0,626.25,612.0
2023-08-16,752.5,18097.0,745.0,755.75,739.0,458.75,331.0,445.0,459.0,444.5,15.55,874.0,15.59,15.675,15.535,623.0,53902.0,624.5,633.0,617.25
2023-08-15,745.5,18932.0,759.25,763.0,742.75,445.25,170.0,441.75,447.0,436.75,15.585,369.0,15.63,15.7,15.54,623.75,63345.0,644.5,644.5,621.75
2023-08-14,759.25,22251.0,770.0,771.25,743.25,443.75,200.0,431.25,447.0,429.5,15.635,637.0,15.905,15.97,15.615,641.5,51989.0,661.0,661.5,631.75
2023-08-11,766.0,21446.0,779.75,782.25,763.5,437.0,322.0,433.5,441.5,430.75,15.99,410.0,16.03,16.2,15.9,653.75,60227.0,664.5,665.25,651.25
2023-08-10,779.25,20602.0,776.0,787.75,775.5,434.0,327.0,434.75,444.5,431.75,16.035,542.0,16.05,16.16,16.0,663.75,54011.0,665.0,669.75,660.75
2023-08-09,776.0,23955.0,781.0,788.5,770.5,434.25,222.0,434.75,440.0,425.0,16.07,281.0,15.905,16.125,15.84,661.75,48817.0,681.5,683.25,660.25
2023-08-08,781.5,22431.0,782.0,789.25,771.25,430.5,362.0,428.25,434.75,419.0,15.89,293.0,15.83,15.975,15.755,656.25,74526.0,657.5,662.25,643.0
2023-08-07,782.25,24928.0,779.25,789.0,766.0,427.0,282.0,436.5,447.0,423.0,15.92,392.0,15.895,16.05,15.7,657.5,94843.0,646.0,663.75,636.0
2023-08-04,752.5,25884.0,770.25,785.0,752.0,439.0,202.0,440.0,453.75,431.25,15.95,392.0,16.005,16.125,15.9,633.0,67745.0,627.75,653.75,627.25
2023-08-03,767.5,22780.0,787.0,794.25,763.75,444.0,304.0,452.5,456.75,438.5,16.08,526.0,15.935,16.18,15.875,627.0,62652.0,639.25,648.25,626.25
2023-08-02,787.0,29753.0,804.0,829.5,774.25,453.25,296.0,455.0,459.5,453.0,15.935,270.0,15.86,15.96,15.64,640.0,86848.0,654.5,684.0,636.0
2023-08-01,804.5,26780.0,815.0,824.0,792.25,454.5,360.0,454.75,460.0,445.25,15.845,879.0,15.455,16.085,15.455,652.25,65747.0,670.0,675.0,643.25
2023-07-31,812.75,31995.0,857.5,858.0,807.0,456.25,370.0,441.25,457.5,430.0,15.47,690.0,15.575,15.575,15.36,665.75,97983.0,702.5,703.0,660.25
